,allboundary
0,0.39500000000000013
1,0.6950000000000004
2,1.0850000000000009
3,1.595000000000001
4,3.1850000000000027
5,3.565000000000003
6,5.070000000000004
7,6.485000000000006
8,6.785000000000006
9,7.135000000000006
10,8.265000000000006
11,9.390000000000008
12,9.970000000000008
13,10.540000000000008
14,11.22000000000001
15,11.69500000000001
16,12.170000000000009
17,13.22500000000001
18,13.645000000000012
19,14.230000000000011
20,15.050000000000011
21,16.005000000000013
22,16.665000000000017
23,17.825000000000017
